CODE	ALT_CODE	USAGE	USAGE_UK	DESCRIPTION	MODIFIER_4	MODIFIER_5	QUALIFIERS	GENDER_MASK	MIN_AGE	MAX_AGE	TREE_DESCRIPTION
A00	A00	DEFAULT	3	Cholera							
A00.0	A000	DEFAULT	3	Cholera due to Vibrio cholerae 01, biovar cholerae							
A00.1	A001	DEFAULT	3	Cholera due to Vibrio cholerae 01, biovar eltor							
A00.9	A009	DEFAULT	3	Cholera, unspecified							
A01	A01	DEFAULT	3	Typhoid and paratyphoid fevers							
A01.0	A010	DEFAULT	3	Typhoid fever							
A01.1	A011	DEFAULT	3	Paratyphoid fever A							
A01.2	A012	DEFAULT	3	Paratyphoid fever B							
A01.3	A013	DEFAULT	3	Paratyphoid fever C							
A01.4	A014	DEFAULT	3	Paratyphoid fever, unspecified							
A02	A02	DEFAULT	3	Other salmonella infections							
A02.0	A020	DEFAULT	3	Salmonella enteritis							
A02.1	A021	DEFAULT	3	Salmonella sepsis							
A02.2	A022	DEFAULT	3	Localized salmonella infections							
A02.8	A028	DEFAULT	3	Other specified salmonella infections							
A02.9	A029	DEFAULT	3	Salmonella infection, unspecified							
A03	A03	DEFAULT	3	Shigellosis							
A03.0	A030	DEFAULT	3	Shigellosis due to Shigella dysenteriae							
A03.1	A031	DEFAULT	3	Shigellosis due to Shigella flexneri							
A03.2	A032	DEFAULT	3	Shigellosis due to Shigella boydii							
A03.3	A033	DEFAULT	3	Shigellosis due to Shigella sonnei							
A03.8	A038	DEFAULT	3	Other shigellosis							
A03.9	A039	DEFAULT	3	Shigellosis, unspecified							
A04	A04	DEFAULT	3	Other bacterial intestinal infections							
A04.0	A040	DEFAULT	3	Enteropathogenic Escherichia coli infection							
A04.1	A041	DEFAULT	3	Enterotoxigenic Escherichia coli infection							
A04.2	A042	DEFAULT	3	Enteroinvasive Escherichia coli infection							
A04.3	A043	DEFAULT	3	Enterohaemorrhagic Escherichia coli infection							
A04.4	A044	DEFAULT	3	Other intestinal Escherichia coli infections							
A04.5	A045	DEFAULT	3	Campylobacter enteritis							
A04.6	A046	DEFAULT	3	Enteritis due to Yersinia enterocolitica							
A04.7	A047	DEFAULT	3	Enterocolitis due to Clostridium difficile							
A04.8	A048	DEFAULT	3	Other specified bacterial intestinal infections							
A04.9	A049	DEFAULT	3	Bacterial intestinal infection, unspecified							
A05	A05	DEFAULT	3	Other bacterial foodborne intoxications, not elsewhere classified							
A05.0	A050	DEFAULT	3	Foodborne staphylococcal intoxication							
A05.1	A051	DEFAULT	3	Botulism							
A05.2	A052	DEFAULT	3	Foodborne Clostridium perfringens [Clostridium welchii] intoxication							
A05.3	A053	DEFAULT	3	Foodborne Vibrio parahaemolyticus intoxication							
A05.4	A054	DEFAULT	3	Foodborne Bacillus cereus intoxication							
A05.8	A058	DEFAULT	3	Other specified bacterial foodborne intoxications							
A05.9	A059	DEFAULT	3	Bacterial foodborne intoxication, unspecified							
A06	A06	DEFAULT	3	Amoebiasis							
